state,abbreviation,city,mostpopulouscity,population,size,size_units,timezone1,timezone2,dst
ALABAMA,AL,Montgomery,Birmingham,"4,708,708","52,423",sq miles,CST (UTC-6),EST (UTC-5),YES
ALASKA,AK,Juneau,Anchorage,"698,473","656,425",sq miles,AKST (UTC-09) ,HST (UTC-10) ,YES
ARIZONA,AZ,Phoenix,Phoenix,"6,595,778","114,006",sq miles,MT (UTC-07),,NO
ARKANSAS,AR,Little Rock,Little Rock,"2,889,450","53,182",sq miles,CST (UTC-6),,YES
CALIFORNIA,CA,Sacramento,Los Angeles,"36,961,664","163,707",sq miles,PT (UTC-8),,YES
COLORADO,CO,Denver,Denver,"5,024,748","104,100",sq miles,MT (UTC-07),,YES
CONNECTICUT,CT,Hartford,Bridgeport,"3,518,288","5,544",sq miles,EST (UTC-5),,YES
DELAWARE,DE,Dover,Wilmington,"885,122","1,954",sq miles,EST (UTC-5),,YES
FLORIDA,FL,Tallahassee,Jacksonville,"18,537,969","65,758",sq miles,EST (UTC-5),CST (UTC-6),YES
GEORGIA,GA,Atlanta,Atlanta,"9,829,211","59,441",sq miles,EST (UTC-5),,YES
HAWAII,HI,Honolulu,Honolulu,"1,295,178","10,932",sq miles,HST (UTC-10) ,,NO
IDAHO,ID,Boise,Boise,"1,545,801","83,574",sq miles,MT (UTC-07),PT (UTC-8),YES
ILLINOIS,IL,Springfield,Chicago,"12,910,409","57,918",sq miles,CST (UTC-6),,YES
INDIANA,IN,Indianapolis,Indianapolis,"6,423,113","36,420",sq miles,EST (UTC-5),CST (UTC-6),YES
IOWA,IA,Des Moines,Des Moines,"3,007,856","56,276",sq miles,CST (UTC-6),,YES
KANSAS,KS,Topeka,Wichita,"2,818,747","82,282",sq miles,CST (UTC-6),MT (UTC-07),YES
KENTUCKY,KY,Frankfort,Louisville,"4,314,113","40,411",sq miles,EST (UTC-5),CST (UTC-6),YES
LOUISIANA,LA,Baton Rouge,New Orleans,"4,492,076","51,843",sq miles,CST (UTC-6),,YES
MAINE,ME,Augusta,Portland,"1,318,301","35,387",sq miles,EST (UTC-5),,YES
MARYLAND,MD,Annapolis,Baltimore,"5,699,478","12,407",sq miles,EST (UTC-5),,YES
MASSACHUSETTS,MA,Boston,Boston,"6,593,587","10,555",sq miles,EST (UTC-5),,YES
MICHIGAN,MI,Lansing,Detroit,"9,969,727","96,810",sq miles,EST (UTC-5),CST (UTC-6),YES
MINNESOTA,MN,Saint Paul,Minneapolis,"5,266,214","86,943",sq miles,CST (UTC-6),,YES
MISSISSIPPI,MS,Jackson,Jackson,"2,951,996","48,434",sq miles,CST (UTC-6),,YES
MISSOURI,MO,Jefferson City,Kansas City,"5,987,580","69,709",sq miles,CST (UTC-6),,YES
